Row ID,Order Date,Ship Mode,Segment,Category,Sales,Quantity,Discount,Profit,Shipping Cost
1,1/1/2011,Standard Class,Consumer,Office Supplies,408.3,2,0,106.14,35.46
2,1/1/2011,Standard Class,Consumer,Office Supplies,120.366,3,0.1,36.036,9.72
3,1/1/2011,Second Class,Consumer,Office Supplies,66.12,4,0,29.64,8.17
4,1/1/2011,Second Class,Home Office,Office Supplies,44.865,3,0.5,-26.055,4.82
5,1/1/2011,Standard Class,Consumer,Furniture,113.67,5,0.1,37.77,4.7
6,1/1/2011,Standard Class,Consumer,Office Supplies,55.242,2,0.1,15.342,1.8
7,2/1/2011,Second Class,Consumer,Technology,285.78,2,0,71.4,57.3
8,2/1/2011,First Class,Consumer,Furniture,290.666,2,0.15,3.4196,54.64
9,2/1/2011,Second Class,Corporate,Office Supplies,206.4,1,0,92.88,53.08
10,2/1/2011,Second Class,Corporate,Office Supplies,162.72,3,0,68.31,44.36
11,2/1/2011,Second Class,Corporate,Office Supplies,352.35,5,0,137.4,33.15
12,2/1/2011,Standard Class,Corporate,Office Supplies,400.704,2,0.4,20.024,21.38
13,2/1/2011,Standard Class,Consumer,Furniture,309.6,6,0,148.5,19.65
14,2/1/2011,Second Class,Corporate,Office Supplies,139.65,5,0,15.3,19.23
15,2/1/2011,Second Class,Consumer,Office Supplies,40.68,3,0,11.79,11.13
16,2/1/2011,Standard Class,Corporate,Technology,81.984,2,0.4,-19.136,6.21
17,2/1/2011,Standard Class,Consumer,Office Supplies,78.3,3,0,20.34,6.03
18,2/1/2011,Second Class,Consumer,Office Supplies,22.65,5,0,9.6,5.29
19,2/1/2011,Second Class,Consumer,Office Supplies,20.34,3,0,9.9,3.78
20,2/1/2011,Second Class,Corporate,Office Supplies,21.39,1,0,0,3.34
21,2/1/2011,Standard Class,Consumer,Office Supplies,21.06,3,0,10.53,1.86
22,2/1/2011,Standard Class,Consumer,Office Supplies,11.82,2,0,4.2,0.93
23,2/1/2011,Standard Class,Corporate,Office Supplies,9.576,6,0.4,-0.984,0.81
24,3/1/2011,First Class,Consumer,Office Supplies,551.16,4,0,71.64,164.36
25,3/1/2011,Standard Class,Corporate,Furniture,1314.45,3,0,341.73,150.4
26,3/1/2011,Standard Class,Consumer,Technology,1470.78,6,0,264.6,146.55
27,3/1/2011,Standard Class,Consumer,Office Supplies,364.416,8,0.2,45.456,80.67
28,3/1/2011,Standard Class,Home Office,Furniture,634.116,6,0.3,-172.1172,70.05
29,3/1/2011,First Class,Consumer,Furniture,246.48,4,0,105.96,65.81
30,3/1/2011,Standard Class,Corporate,Furniture,704.55,5,0,288.75,64.4
31,3/1/2011,Standard Class,Consumer,Office Supplies,1244.16,6,0,211.5,60.78
32,3/1/2011,First Class,Consumer,Technology,214.758,2,0.1,7.158,55.67
33,3/1/2011,Second Class,Consumer,Furniture,457.568,2,0.2,51.4764,47.89
34,3/1/2011,Standard Class,Consumer,Technology,587.7,2,0,123.36,42.88
35,3/1/2011,Standard Class,Consumer,Furniture,376.509,3,0.3,-43.0296,32.7
36,3/1/2011,Standard Class,Corporate,Office Supplies,194.64,4,0,34.92,25.39
37,3/1/2011,Standard Class,Consumer,Furniture,362.25,6,0.3,0,25.22
38,3/1/2011,Same Day,Home Office,Furniture,162.84,2,0,76.5,24.42
39,3/1/2011,Same Day,Home Office,Office Supplies,115.74,2,0,30.06,19.52
40,3/1/2011,First Class,Consumer,Technology,493.2,4,0,123.24,18.19
41,3/1/2011,Standard Class,Consumer,Office Supplies,106.8,4,0,29.88,16.48
42,3/1/2011,Standard Class,Consumer,Technology,266.25,1,0,79.86,16.22
43,3/1/2011,Standard Class,Corporate,Furniture,351.75,7,0,59.64,15.91
44,3/1/2011,Standard Class,Consumer,Furniture,238.929,2,0.27,62.169,15.01
45,3/1/2011,Standard Class,Consumer,Office Supplies,109.1853,9,0.47,-74.4147,14.58
46,3/1/2011,Standard Class,Corporate,Technology,151.362,2,0.1,-5.058,14.22
47,3/1/2011,Standard Class,Consumer,Technology,91.872,1,0.4,-45.948,13.96
